구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,이도이동,길용파크빌라트,-,202412,31,25000,24.12.31
제주시,노형동,부영2차,206,202412,31,32800,25.04.23
제주시,일도이동,일도더팰리스,-,202412,31,39000,25.01.13
제주시,애월읍,제주하귀휴먼시아1단지,109,202412,31,49000,25.01.17
제주시,도련이동,제주삼화사랑으로부영1차,105,202412,30,52500,25.02.28
제주시,연동,고정아파트,-,202412,30,51000,-
제주시,노형동,노형뜨란채,211,202412,30,57000,25.01.10
제주시,연동,디지털한빛,디지털한빛아파트 102,202412,30,47000,25.02.18
제주시,노형동,해오름,105,202412,30,55000,24.12.31
제주시,연동,남해오네뜨,-,202412,28,18500,25.02.26
제주시,노형동,현대아이파크,101,202412,28,63700,25.02.28
제주시,구좌읍,라메르힐,-,202412,28,25900,25.02.04
제주시,일도이동,일도더팰리스,-,202412,27,58450,25.01.24
제주시,노형동,해오름,103,202412,27,51200,25.02.14
제주시,월평동,제주첨단꿈에그린3단지아파트,314동,202412,27,50000,25.03.07
제주시,삼양이동,제주삼화사랑으로부영5차,513,202412,27,52800,25.03.05
제주시,연동,제주세기,-,202412,27,38500,25.02.27
제주시,조천읍,광명샤인빌,106,202412,26,27800,25.03.04
제주시,연동,해월루,-,202412,26,6200,25.01.14
제주시,노형동,인텔리젼트한빛,-,202412,26,39800,25.02.28
제주시,연동,해월루,-,202412,25,6300,24.12.30
제주시,일도이동,일도캐슬휘닉스아파트,-,202412,24,30800,25.01.24
제주시,노형동,해오름,101,202412,24,32000,24.12.27
제주시,노형동,중흥에스클래스,102,202412,24,63000,25.01.06
제주시,조천읍,함덕천마에코피아,-,202412,24,15500,24.12.27
제주시,연동,예그린하우스텔,-,202412,23,8300,25.01.02
제주시,삼양이동,제주삼화사랑으로부영3차,305,202412,23,45500,25.02.20
제주시,삼양이동,제주삼화사랑으로부영3차,-,202412,23,45500,-
제주시,삼양이동,제주삼화사랑으로부영3차,-,202412,23,45500,-
제주시,도남동,송화,-,202412,23,21600,25.01.24
제주시,도남동,송화,-,202412,23,21600,-
제주시,노형동,노형해모로루엔,101동,202412,23,85000,25.01.03
제주시,애월읍,제주하귀휴먼시아1단지,107,202412,23,41200,25.02.14
제주시,화북이동,제주삼화사랑으로부영2차,204,202412,22,53000,25.02.21
제주시,건입동,건입미화,가,202412,21,21500,25.01.21
제주시,노형동,노형벽강하이본타워7차,-,202412,20,54700,25.02.26
제주시,화북이동,부웅크리스탈6차아파트,나동,202412,20,31500,25.02.05
제주시,용담이동,용두암현대3,3동,202412,20,26000,25.01.10
제주시,외도일동,해마루풍경102동,-,202412,20,19000,25.01.09
제주시,노형동,재영윈저캐슬,-,202412,20,15000,25.01.31
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,노형동,노형뜨란채,207,202412,19,56000,25.02.17
제주시,노형동,대원상록수5차,101,202412,19,37800,25.02.14
제주시,외도일동,외도부영1차,103,202412,19,17900,25.01.03
제주시,아라일동,아라원신,103,202412,19,46000,25.03.31
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,연동,연동뜨레모아,-,202412,19,59000,25.03.26
제주시,아라일동,아라천일,가,202412,19,20000,24.12.26
제주시,일도이동,예그린하우스텔5차,-,202412,19,13400,24.12.30
제주시,외도일동,부영(2차),부영아파트 202,202412,19,39400,25.01.17
제주시,연동,연동한일씨티파크,-,202412,18,43000,-
제주시,외도일동,외도타워,-,202412,18,31000,25.02.04
제주시,연동,연동엘리시아3차,-,202412,18,37000,25.02.05
제주시,일도이동,대유대림아파트,제주대유대림아파트 304,202412,18,56500,25.02.05
제주시,용담일동,한라더카운티,-,202412,18,36000,25.02.07
제주시,용담일동,한라더카운티,-,202412,18,36000,-
제주시,일도이동,삼화,가,202412,17,22750,25.02.17
제주시,일도이동,일도수선화,일도수선화아파트 나,202412,17,22000,25.01.10
제주시,연동,청목더웰연동,-,202412,17,7400,25.01.07
제주시,일도이동,일도신천지,105,202412,17,26500,25.02.24
제주시,애월읍,제주하귀휴먼시아1단지,110,202412,16,45600,25.02.17
제주시,삼양이동,동명,나,202412,16,25000,25.01.15
제주시,노형동,부영5차,502,202412,16,66000,25.01.15
제주시,연동,신동부삼무3차,-,202412,16,14500,25.01.23
제주시,일도이동,인화리치빌,-,202412,16,30700,24.12.16
제주시,건입동,해한아모르빌,-,202412,16,21000,24.12.30
제주시,월평동,제주첨단꿈에그린2단지아파트,-,202412,15,49900,-
제주시,아라일동,염광,5,202412,14,19800,25.01.24
제주시,외도일동,외도부영1차,106,202412,14,27450,24.12.19
제주시,삼도일동,아산플라자,-,202412,14,32750,25.02.13
제주시,노형동,부영2차,205,202412,13,30800,24.12.19
제주시,외도일동,외도부영1차,103,202412,13,20000,25.01.15
제주시,외도일동,외도부영1차,102,202412,12,15970,24.12.13
제주시,이도이동,주공1,105,202412,12,67000,25.02.28
제주시,노형동,중흥에스클래스,-,202412,12,52500,-
제주시,노형동,노형이-편한세상,101동,202412,12,92000,25.02.21
제주시,노형동,중흥에스클래스,106,202412,12,52500,25.01.17
제주시,연동,코스모스태홍누리안5차,-,202412,12,45000,25.02.13
제주시,월평동,제주첨단꿈에그린2단지아파트,-,202412,11,49950,-
제주시,이도이동,영도갤럭시타운,-,202412,11,10800,24.12.19
제주시,화북일동,삼부빌라,-,202412,11,13900,25.02.06
제주시,월평동,제주첨단꿈에그린2단지아파트,208동,202412,11,49950,25.01.31
제주시,일도이동,일도캐슬휘닉스아파트,-,202412,10,41000,25.02.28
제주시,삼양이동,제주삼화사랑으로부영3차,308,202412,10,54800,25.02.19
제주시,연동,대림이편한세상1차,106,202412,10,71800,25.01.10
제주시,외도일동,외도부영1차,105,202412,10,21000,25.01.09
제주시,도남동,도남2차e-편한세상,도남2차e-편한세상 204,202412,10,69000,24.12.19
제주시,일도이동,삼부장미주상,-,202412,10,11500,24.12.18
제주시,삼도이동,JNC패밀리3차,-,202412,10,32000,-
제주시,용담일동,한라더카운티,-,202412,10,36000,25.01.09
제주시,외도일동,외도부영1차,101,202412,10,20000,24.12.10
제주시,한림읍,남건휴먼스3차,-,202412,10,16000,25.01.21
제주시,아라일동,아라스위첸,106,202412,9,83500,24.12.26
제주시,도련이동,제주삼화사랑으로부영1차,-,202412,9,46900,-
제주시,연동,라이오니파크1차,-,202412,9,23000,24.12.10
제주시,삼도일동,삼성뜨래별,-,202412,9,38500,25.03.10
제주시,도남동,도남해모로리치힐아파트,104동,202412,9,58000,25.01.23
제주시,연동,제원3차,2,202412,9,34700,25.01.08
제주시,도련이동,제주삼화사랑으로부영1차,101,202412,9,46900,25.01.23
제주시,연동,연동태홍누리안3차,-,202412,9,32500,25.02.03
제주시,화북일동,"화북주공2,3단지",화북2아파트213,202412,9,26500,24.12.11
제주시,연동,제주세기,-,202412,9,36000,25.02.18
제주시,삼양이동,제주삼화사랑으로부영5차,513,202412,9,53900,25.01.15
제주시,노형동,해오름,102,202412,9,55000,25.02.12
제주시,도남동,도남해모로리치힐아파트,-,202412,8,62500,-
제주시,도남동,도남해모로리치힐아파트,102동,202412,8,80000,25.01.24
제주시,연동,남경하이빌,-,202412,8,25000,25.02.03
제주시,조천읍,쉬젠비아채,다동,202412,8,30000,25.02.05
제주시,도남동,도남해모로리치힐아파트,101동,202412,8,62500,25.01.24
제주시,도남동,성원1,-,202412,7,14600,25.01.22
제주시,노형동,노형해모로루엔,101동,202412,7,76000,25.04.30
제주시,조천읍,다온팰리스아파트,비동,202412,7,21500,25.01.07
제주시,이호이동,성지휴캐슬,-,202412,7,33800,25.01.09
제주시,이도이동,주공2차,201,202412,7,38500,25.01.22
제주시,일도이동,일도더팰리스,-,202412,6,40000,25.02.05
제주시,일도이동,일도더팰리스,-,202412,6,40000,-
제주시,월평동,제주첨단꿈에그린2단지아파트,212동,202412,6,53000,24.12.06
제주시,일도이동,일도더팰리스,-,202412,6,40000,-
제주시,연동,타워프로빌,-,202412,6,58000,25.02.11
제주시,연동,라이오니파크1차,-,202412,6,22800,24.12.06
제주시,외도일동,외도부영1차,105,202412,5,16300,25.01.03
제주시,연동,가완에어텔,-,202412,5,6800,24.12.10
제주시,일도이동,일도1차대림,103,202412,5,30000,24.12.06
제주시,이도이동,영도갤럭시타운,-,202412,5,11700,25.01.31
제주시,연동,미도스카이빌,-,202412,5,7200,24.12.19
제주시,외도일동,해마루풍경102동,-,202412,5,27000,24.12.26
제주시,조천읍,광명샤인빌,106,202412,4,28300,25.01.21
제주시,노형동,부영1차,101,202412,4,69000,25.01.31
제주시,이도이동,부양장미2차,-,202412,4,18000,25.02.06
제주시,도련일동,다호예그린1차,-,202412,4,28800,25.01.22
제주시,이도이동,주공3,305,202412,4,35000,24.12.13
제주시,건입동,흥남한아름,-,202412,4,17000,25.01.13
제주시,한림읍,제주한림코아루,102동,202412,3,29800,24.12.19
제주시,일도이동,혜성대유,103,202412,3,27500,25.01.13
제주시,외도일동,부영(2차),부영아파트 201,202412,3,43000,25.01.24
제주시,화북이동,제주삼화엘에이치2단지,204,202412,3,61000,25.02.18
제주시,일도이동,삼부장미주상,-,202412,3,11200,24.12.13
제주시,연동,동경원룸,-,202412,3,4200,24.12.30
제주시,노형동,해한아모르빌2차,-,202412,3,31700,24.12.27
제주시,외도일동,가인힐,-,202412,3,24000,25.01.22
제주시,연동,가완에어텔,-,202412,2,6500,24.12.03
제주시,연동,진호뉴캐슬,-,202412,2,22000,-
제주시,연동,진호뉴캐슬,-,202412,2,22000,25.01.16
제주시,연동,연동한일씨티파크,-,202412,2,40000,25.01.31
제주시,조천읍,광명샤인빌,102,202412,2,21000,25.02.17
제주시,이호이동,성지휴캐슬,-,202412,1,33800,-
제주시,노형동,현대아이파크,101,202411,30,64500,25.02.12
제주시,도두일동,블루파크시티,-,202411,30,34300,24.12.04
제주시,노형동,중흥에스클래스,107,202411,30,53500,25.01.22
제주시,노형동,송우수자인,-,202411,29,42000,-
제주시,노형동,중흥에스클래스,106,202411,29,48350,24.12.10
제주시,외도일동,부영(2차),부영아파트 204,202411,29,42000,25.01.20
제주시,외도일동,부영(2차),-,202411,29,42000,-
제주시,연동,대림이편한세상1차,101,202411,29,72500,24.12.30
제주시,노형동,노형뜨란채,211,202411,29,53000,25.02.28
제주시,노형동,노형뜨란채,205,202411,29,61000,25.02.24
제주시,조천읍,신촌다정타운,가,202411,29,14000,25.02.28
제주시,노형동,경진아트빌,-,202411,29,5450,24.11.29
제주시,노형동,경진아트빌,-,202411,29,5450,24.11.29
제주시,연동,대림이편한세상1차,101,202411,29,75000,25.01.10
제주시,외도일동,부영(2차),부영아파트 201,202411,28,40500,25.01.20
제주시,연동,연동이화,-,202411,28,25000,24.12.06
제주시,외도일동,외도부영1차,105,202411,28,23100,25.01.21
제주시,외도일동,외도부영1차,108,202411,28,19700,25.01.21
제주시,연동,연동월드하우스,연동월드하우스,202411,28,28000,25.01.08
제주시,도련일동,도련영도갤럭시타운,-,202411,28,35000,24.12.09
제주시,이도일동,광양미화,나,202411,28,18600,25.01.13
제주시,화북이동,제주삼화사랑으로부영2차,202,202411,27,53000,25.02.17
제주시,애월읍,제주하귀휴먼시아2단지,204,202411,27,41500,25.01.16
제주시,도남동,파인즈아파트,-,202411,27,39500,25.02.05
제주시,이도이동,석정시티빌,-,202411,27,5800,24.12.16
제주시,애월읍,제주하귀휴먼시아1단지,-,202411,27,43300,-
제주시,화북일동,화북주공4단지,404,202411,27,31000,25.02.27
제주시,조천읍,광명샤인빌,101,202411,27,21000,24.12.24
제주시,연동,대림이편한세상1차,104,202411,27,80000,25.02.28
제주시,애월읍,제주하귀휴먼시아1단지,108,202411,26,42500,25.01.14
제주시,외도일동,부영(2차),부영아파트 206,202411,26,41800,25.02.10
제주시,연동,진호뉴캐슬,-,202411,26,21000,25.01.22
제주시,아라일동,염광,6,202411,26,23000,24.12.09
제주시,노형동,노형위더스빌,-,202411,26,33000,25.02.04
제주시,노형동,부영1차,103,202411,25,68000,24.12.20
제주시,삼양이동,제주삼화사랑으로부영3차,-,202411,25,46000,-
제주시,일도이동,대유대림아파트,제주대유대림아파트 309,202411,25,39800,25.01.14
제주시,노형동,부영2차,204,202411,25,34000,25.01.06
제주시,봉개동,노블하우스,-,202411,25,23800,25.02.28
제주시,삼양이동,제주삼화사랑으로부영3차,-,202411,25,46000,-
제주시,삼양이동,제주삼화사랑으로부영3차,306,202411,25,46000,25.01.13
제주시,아라일동,아라아이파크,109,202411,24,74000,25.01.14
제주시,연동,코스모스태홍누리안5차,-,202411,24,44000,25.01.14
제주시,노형동,부영2차,205,202411,24,35000,24.12.16
제주시,애월읍,아름아이빌,-,202411,23,20300,25.01.23
제주시,삼도이동,미듬아뜨리에,미듬아뜨리에 102,202411,22,34200,25.01.13
제주시,삼도이동,미듬아뜨리에,-,202411,22,34200,-
제주시,연동,대원에버그린빌,-,202411,22,5978,25.01.08
제주시,노형동,노형뜨란채,203,202411,22,63000,25.02.05
제주시,연동,연동한일씨티파크,-,202411,22,40900,25.01.15
제주시,건입동,건입미화,가,202411,22,17700,24.12.23
제주시,삼도이동,미듬아뜨리에,-,202411,22,34200,-
제주시,이도이동,지산16차위더스빌,-,202411,21,50000,-
제주시,화북이동,제주삼화사랑으로부영2차,210,202411,21,54000,25.01.08
제주시,도남동,도남1차e-편한세상,도남1차e-편한세상 102,202411,21,60000,24.12.20
제주시,연동,대림이편한세상1차,106,202411,21,71000,25.02.05
제주시,조천읍,쉬젠비아채,다동,202411,20,24000,25.01.13
제주시,일도이동,일도수선화,-,202411,20,22000,-
제주시,노형동,중흥에스클래스,101,202411,20,63000,24.12.11
제주시,일도이동,대유대림아파트,제주대유대림아파트 301,202411,20,75000,25.01.16
제주시,화북이동,제주삼화사랑으로부영2차,-,202411,19,57400,-
제주시,조천읍,일이삼타운,-,202411,19,22000,24.11.26
제주시,이도일동,광양미화,가,202411,19,19700,24.12.19
제주시,화북이동,제주삼화사랑으로부영2차,208,202411,19,57400,25.01.23
제주시,연동,디지털한빛,디지털한빛아파트 101,202411,19,48300,24.12.17
제주시,일도이동,기산,102,202411,18,21000,24.11.19
제주시,외도일동,갤럭시타운,-,202411,18,26700,25.03.31
제주시,노형동,중흥에스클래스,105,202411,18,59000,24.12.24
제주시,노형동,현대아이파크,101,202411,18,60000,25.01.16
제주시,도련이동,제주삼화사랑으로부영1차,104,202411,18,46500,24.12.09
제주시,한림읍,한림대성유니크,-,202411,18,24600,25.02.28
제주시,외도일동,대송파크빌,-,202411,17,25500,24.12.06
제주시,이도일동,극동오벨리스크3차,-,202411,17,30000,25.01.10
제주시,애월읍,제주하귀휴먼시아1단지,110,202411,17,41500,25.01.10
제주시,노형동,일호지오빌,-,202411,16,38000,24.12.26
제주시,노형동,일호지오빌,-,202411,16,38000,-
제주시,노형동,부영2차,205,202411,16,34500,24.12.27
제주시,삼도일동,에코빌리지Ⅲ,-,202411,16,38000,25.01.06
제주시,노형동,일호지오빌,-,202411,16,38000,-
제주시,외도일동,해마루풍경102동,-,202411,16,24700,25.02.03
제주시,연동,벽강하이본타워,-,202411,15,9400,24.12.09
제주시,화북일동,화북주공1단지,-,202411,15,39000,-
제주시,연동,재형그랜드빌아트,-,202411,15,21000,24.11.15
제주시,노형동,재영샤르빌,-,202411,15,8000,24.11.18
제주시,연동,제주연동중흥S-클래스,-,202411,15,34900,24.11.26
제주시,노형동,서부파크빌,-,202411,14,29000,-
제주시,연동,신동부삼무하이빌,-,202411,14,7000,24.11.29
제주시,조천읍,거웅라피네,-,202411,14,27000,24.12.13
제주시,연동,제주연동중흥S-클래스,-,202411,13,19000,24.11.14
제주시,노형동,대림,101,202411,13,36700,24.12.20
제주시,외도일동,외도상익푸르미르,-,202411,12,34000,25.01.13
제주시,노형동,해오름,103,202411,12,49500,25.01.15
제주시,도남동,도남해모로리치힐아파트,109동,202411,12,65800,25.02.03
제주시,노형동,노형뜨란채,220,202411,12,58000,25.03.07
제주시,삼도일동,덕진온누리,-,202411,12,31000,25.01.24
제주시,오라이동,휴림힐타운아파트,-,202411,12,41500,25.03.24
제주시,이도이동,이도한일베라체,108,202411,12,68500,25.01.06
제주시,연동,제주연동중흥S-클래스,-,202411,12,19300,24.12.27
제주시,외도일동,더펠리스1차,-,202411,11,35000,24.12.16
제주시,도두일동,블루파크시티,-,202411,11,14500,-
제주시,외도일동,해담은,-,202411,11,48000,24.12.16
제주시,조천읍,일이삼타운,-,202411,11,21000,-
제주시,외도일동,외도부영1차,102,202411,11,14000,24.11.11
제주시,이도이동,엘루체,-,202411,11,8380,24.12.09
제주시,화북일동,화북주공4단지,415,202411,11,25650,24.12.17
제주시,화북이동,부웅크리스탈6차아파트,나동,202411,11,32000,24.11.28
제주시,용담이동,용두암현대3,-,202411,11,24000,-
제주시,도두일동,블루파크시티,-,202411,11,14500,24.11.18
제주시,외도일동,외도상익푸르미르,-,202411,10,30000,25.01.24
제주시,연동,벽강하이본타워,-,202411,9,12800,24.11.19
제주시,노형동,대원상록수5차,101,202411,9,33300,24.12.26
제주시,노형동,해오름,-,202411,9,55000,-
제주시,이호이동,이호재영샤르빌13차,-,202411,9,35500,-
제주시,이호이동,이호재영샤르빌13차,-,202411,9,35500,25.02.25
제주시,노형동,노형이-편한세상,103동,202411,8,95000,25.04.01
제주시,연동,제원3차,2,202411,8,21000,25.01.06
제주시,일도이동,서해1,-,202411,8,24000,24.11.13
제주시,애월읍,제주하귀휴먼시아1단지,106,202411,8,42800,25.01.24
제주시,조천읍,광명샤인빌,104,202411,8,21500,24.12.16
제주시,이도이동,보경스카이빌,-,202411,7,41000,24.12.06
제주시,조천읍,광명샤인빌,103,202411,7,23000,24.12.06
제주시,이도이동,벽성뜨래별,-,202411,7,37000,-
제주시,화북일동,화북주공1단지,-,202411,7,44000,-
제주시,이도이동,벽성뜨래별,1,202411,7,37000,24.12.18
제주시,화북일동,화북주공1단지,화북1아파트 103동,202411,7,44000,24.12.27
제주시,이도일동,광양미화,-,202411,7,18600,-
제주시,연동,남경하이빌,-,202411,6,28200,24.12.23
제주시,화북이동,제주삼화엘에이치2단지,203,202411,6,60000,25.01.17
제주시,노형동,중흥에스클래스(미리내마을),105,202411,6,84000,25.01.13
제주시,애월읍,제주하귀휴먼시아1단지,108,202411,6,48000,24.11.29
제주시,노형동,노형벽강하이본타워7차,-,202411,6,54000,25.01.06
제주시,이도이동,현원아트빌,-,202411,6,22300,24.11.07
제주시,노형동,부영2차,201,202411,5,32500,25.01.24
제주시,화북일동,"화북주공2,3단지",화북2아파트204,202411,5,31500,25.01.17
제주시,외도일동,골드하우스,에이,202411,5,43000,24.12.02
제주시,노형동,현대아이파크,101,202411,5,60000,25.03.07
제주시,건입동,미화(사라미화맨션),-,202411,5,13000,24.12.12
제주시,연동,제웅솔내음,-,202411,5,6000,24.11.05
제주시,연동,연동월드하우스,연동월드하우스,202411,5,28300,24.11.21
제주시,외도일동,대원상록수11차아파트,-,202411,5,35000,25.01.20
제주시,일도이동,일도더팰리스,-,202411,5,36280,24.12.02
제주시,삼도일동,한성베르뜨2차,-,202411,4,31000,24.12.23
제주시,도남동,도남해모로리치힐아파트,108동,202411,4,55000,24.11.04
제주시,노형동,유나이티드,-,202411,4,14200,25.02.28
제주시,외도일동,외도부영1차,102,202411,4,14400,24.11.12
제주시,일도이동,일도신천지,108,202411,4,26000,24.11.27
제주시,조천읍,쉬젠비아채,다동,202411,4,16000,25.01.20
제주시,일도이동,대유대림아파트,제주대유대림아파트 306,202411,4,52700,24.12.10
제주시,노형동,부영2차,203,202411,3,35500,24.12.06
제주시,연동,엘리시아,-,202411,3,9200,24.11.28
제주시,건입동,동문파크빌,-,202411,2,21000,-
제주시,아라일동,아라아이파크,102,202411,2,76500,24.12.03
제주시,건입동,동문파크빌,-,202411,2,21000,24.12.23
제주시,한림읍,제주한림코아루,102동,202411,2,29400,24.11.29
제주시,외도일동,한울아파트,-,202411,2,30100,25.02.13
제주시,삼양이동,제주삼화사랑으로부영5차,501,202411,1,46800,25.01.07
제주시,도련이동,제주삼화사랑으로부영1차,104,202411,1,47200,25.01.31
제주시,화북일동,화북주공1단지,화북1아파트 101동,202411,1,45000,25.01.17
제주시,오라이동,미듬아뜨리에,-,202411,1,23300,-
제주시,오라이동,미듬아뜨리에,-,202411,1,23300,25.03.25
제주시,아라일동,염광,4,202411,1,21000,24.12.10
제주시,화북이동,제주삼화사랑으로부영2차,209,202410,31,52800,24.11.08
제주시,노형동,한화,102,202410,31,94000,25.01.31
제주시,연동,제주세기,-,202410,31,36000,-
제주시,노형동,부영2차,202,202410,31,31500,25.01.24
제주시,화북이동,제주삼화엘에이치2단지,202,202410,31,61300,24.12.09
제주시,화북이동,제주삼화사랑으로부영2차,-,202410,31,52800,-
제주시,외도일동,외도부영1차,105,202410,30,25000,24.10.30
제주시,이도이동,대원,-,202410,30,16000,24.11.22
제주시,연동,진호뉴캐슬,-,202410,30,22000,24.12.02
제주시,일도이동,일도월드하우스,1,202410,29,28100,24.12.27
제주시,이도일동,이도네오하임,-,202410,29,33000,24.12.02
제주시,애월읍,제웅명당,-,202410,28,22000,24.12.19
제주시,노형동,동덕,-,202410,28,17800,-
제주시,연동,청목더웰연동,-,202410,28,9200,24.11.18
제주시,아라일동,염광,4,202410,28,19500,24.11.06
제주시,애월읍,제주하귀휴먼시아2단지,204,202410,28,44000,25.02.17
제주시,연동,삼오한마음,-,202410,27,18000,24.12.06
제주시,이도이동,주공1,111,202410,27,42500,25.03.05
제주시,외도일동,외도부영1차,106,202410,27,24500,24.11.18
제주시,아라일동,아라스위첸,103,202410,26,83000,25.01.23
제주시,노형동,부영2차,203,202410,26,34700,24.11.07
제주시,노형동,부영3차,304,202410,26,70000,24.12.19
제주시,이도이동,이도한우리,-,202410,26,35000,25.02.28
제주시,이도이동,이도재영샤르빌,-,202410,26,35000,24.12.05
제주시,아라일동,아라스위첸,104,202410,26,73000,24.11.25
제주시,외도일동,부영(2차),부영아파트 203,202410,26,46900,24.12.27
제주시,노형동,지산11차위더스빌,-,202410,25,36500,25.02.03
제주시,노형동,부영5차,503,202410,25,65000,25.02.28
제주시,용담이동,한라,한라아파트,202410,25,8500,24.10.31
제주시,외도일동,대원상록수11차아파트,-,202410,24,37200,-
제주시,연동,연동엘리트빌,-,202410,24,23500,25.01.15
제주시,연동,이레빌,-,202410,24,5360,24.12.18
제주시,연동,이레빌,-,202410,24,5516,24.11.26
제주시,연동,해월루,-,202410,24,6916,24.11.26
제주시,연동,연동아이진빌,-,202410,24,5661,24.11.26
제주시,화북이동,제동해피죤,제동해피죤101동,202410,24,24000,24.10.24
